row	issue	classification	harness_verdict	verdict_source	exit_code	trace_status	reason	artifact	execution_harness_sha
PREFLIGHT	101	PASS-candidate		none	0	unknown	human fold from k6 log (3/3 checks and both thresholds passed) plus seat-readiness PASS-candidate; run-result verdict is null and candidate routing envelope is absent because PREFLIGHT/preflight row IDs mismatch	PREFLIGHT/cael/20260802T011907Z-preflight-9d687f3c	9fcf215674720803840d15efa93bd925180135b9
R-CD-1	103	PASS-candidate	PASS-candidate		0	present	authority contract completed	R-CD-1/cael/20260802T011914Z-r-cd-1-9d687f3c	9fcf215674720803840d15efa93bd925180135b9
R-CD-2	119	NO-VERDICT	PARTIAL-candidate		99	r-cd-2-authoritative-receipt	required same-run terminal sentinel and matching Tempo topology absent after bounded retry	R-CD-2/cael/20260802T012315Z-r-cd-2-3b245cf3	9fcf215674720803840d15efa93bd925180135b9
R-CD-3	119	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CD-3/cael/20260802T012610Z-r-cd-3-8ccace3a	9fcf215674720803840d15efa93bd925180135b9
R-CD-4	119	NO-VERDICT	PARTIAL-candidate		99	present	child completed but targeted return absent after bounded retry	R-CD-4/cael/20260802T015151Z-r-cd-4-51ea6bad	9fcf215674720803840d15efa93bd925180135b9
R-CD-CHAINED-DEPTH-2	119	NO-VERDICT	PARTIAL-candidate		99	present	child and grandchild completed but root chain return absent after bounded retry	R-CD-CHAINED-DEPTH-2/cael/20260802T015335Z-r-cd-chained-depth-2-ed4f0600	9fcf215674720803840d15efa93bd925180135b9
R-CD-COLLECTION-ON-COLLAPSE	119	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CD-COLLECTION-ON-COLLAPSE/cael/20260802T013113Z-r-cd-collection-on-collapse-c6d81661	9fcf215674720803840d15efa93bd925180135b9
R-CD-MODEL-CHAINED-ALT	140	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CD-MODEL-CHAINED-ALT/cael/20260802T013125Z-r-cd-model-chained-alt-4af07273	9fcf215674720803840d15efa93bd925180135b9
R-CD-MODEL-DEFAULT	140	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CD-MODEL-DEFAULT/cael/20260802T013155Z-r-cd-model-default-ef23416d	9fcf215674720803840d15efa93bd925180135b9
R-CD-MODEL-TOKEN	140	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CD-MODEL-TOKEN/cael/20260802T013221Z-r-cd-model-token-86497ef8	9fcf215674720803840d15efa93bd925180135b9
R-CD-MODEL-TOOL	140	NO-VERDICT	missing		99	present	child execution-bound model byte and return absent after bounded retry	R-CD-MODEL-TOOL/cael/20260802T015619Z-r-cd-model-tool-843ac3f1	9fcf215674720803840d15efa93bd925180135b9
R-CD-RETURN-OVERLAP	246	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CD-RETURN-OVERLAP/cael/20260802T013604Z-r-cd-return-overlap-2932408c	9fcf215674720803840d15efa93bd925180135b9
R-CD-SILENT	119	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CD-SILENT/cael/20260802T013617Z-r-cd-silent-87af0d80	9fcf215674720803840d15efa93bd925180135b9
R-CD-TOKEN	103	NO-VERDICT	PARTIAL-candidate		99	missing	raw-final-text token run lacked complete spawn/return/trace authority after bounded retry	R-CD-TOKEN/cael/20260802T015932Z-r-cd-token-5ceaaeea	9fcf215674720803840d15efa93bd925180135b9
R-CONFIG-DEFAULTS	104	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CONFIG-DEFAULTS/cael/20260802T013715Z-r-config-defaults-4c541533	9fcf215674720803840d15efa93bd925180135b9
R-CONFIG-INTERSESSION	121	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CONFIG-INTERSESSION/cael/20260802T013729Z-r-config-intersession-f5bfac78	9fcf215674720803840d15efa93bd925180135b9
R-CW-1	117	PASS-candidate	PASS-candidate		0	present	authority contract completed	R-CW-1/cael/20260802T013742Z-r-cw-1-60da5998	9fcf215674720803840d15efa93bd925180135b9
R-CW-2	117	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CW-2/cael/20260802T013824Z-r-cw-2-30570ff0	9fcf215674720803840d15efa93bd925180135b9
R-CW-3	117	NO-VERDICT	PARTIAL-candidate		0	present	reason telemetry trace topology remained ambiguous after bounded retry	R-CW-3/cael/20260802T020346Z-r-cw-3-c2f38a4f	9fcf215674720803840d15efa93bd925180135b9
R-CW-4	117	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CW-4/cael/20260802T014016Z-r-cw-4-6b6c4ec2	9fcf215674720803840d15efa93bd925180135b9
R-CW-5	117	PASS-candidate	PASS-candidate		0	not-applicable	corrected database-first fixture passed cost-cap rejection with no durable continuation TaskFlow	R-CW-5/cael/fixture-20260802T035255Z-627ee339	627ee3396b658b38a131bb573a89e126faa9cf3c
R-CW-5A	117	NO-VERDICT	construct-only		0	not-applicable	static prior-corpus contract only; not fresh product behavior	R-CW-5A/cael/static-20260802T020835Z	9fcf215674720803840d15efa93bd925180135b9
R-CW-6	117	PASS-candidate	PASS-candidate		0	not-applicable	corrected database-first fixture persisted chain state across SQLite close/reopen and rejected the first over-limit continuation without durable work	R-CW-6/cael/fixture-20260802T035356Z-627ee339	627ee3396b658b38a131bb573a89e126faa9cf3c
R-CW-6A	117	NO-VERDICT	construct-only		0	not-applicable	static prior-corpus contract only; not fresh product behavior	R-CW-6A/cael/static-20260802T020836Z	9fcf215674720803840d15efa93bd925180135b9
R-CW-7	220	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CW-7/cael/20260802T014142Z-r-cw-7-f14f662f	9fcf215674720803840d15efa93bd925180135b9
R-CW-DELEGATE-CHILD-LIVE	213	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CW-DELEGATE-CHILD-LIVE/cael/20260802T014155Z-r-cw-delegate-child-live-1e62df1c	9fcf215674720803840d15efa93bd925180135b9
R-CW-DELEGATE-SELF-CONTINUATION	118	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CW-DELEGATE-SELF-CONTINUATION/cael/20260802T014208Z-r-cw-delegate-self-continuation-531fc938	9fcf215674720803840d15efa93bd925180135b9
R-CW-DELEGATE-TOKEN	221	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CW-DELEGATE-TOKEN/cael/20260802T014243Z-r-cw-delegate-token-eac85ceb	9fcf215674720803840d15efa93bd925180135b9
R-CW-MULTI	117	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CW-MULTI/cael/20260802T014309Z-r-cw-multi-8c19b456	9fcf215674720803840d15efa93bd925180135b9
R-CW-MULTI-COLLAPSE	216	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CW-MULTI-COLLAPSE/cael/20260802T014256Z-r-cw-multi-collapse-9949767f	9fcf215674720803840d15efa93bd925180135b9
R-CW-TOKEN	118	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-CW-TOKEN/cael/20260802T014322Z-r-cw-token-be029d2f	9fcf215674720803840d15efa93bd925180135b9
R-OBS-1	1135	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-OBS-1/cael/20260802T014349Z-r-obs-1-35b4cece	9fcf215674720803840d15efa93bd925180135b9
R-OBS-2	233	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-OBS-2/cael/20260802T014420Z-r-obs-2-f548fc61	9fcf215674720803840d15efa93bd925180135b9
R-OBS-STATUS	104	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-OBS-STATUS/cael/20260802T014433Z-r-obs-status-12620640	9fcf215674720803840d15efa93bd925180135b9
R-RC-1	422	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-RC-1/cael/20260802T014446Z-r-rc-1-73569f3a	9fcf215674720803840d15efa93bd925180135b9
R-RC-2	104	NO-VERDICT	PARTIAL-candidate		0	missing	no structured below-threshold or accepted compaction receipt after bounded retry	R-RC-2/cael/20260802T020433Z-r-rc-2-55899ebc	9fcf215674720803840d15efa93bd925180135b9
R-REGRESSION-TRAP-TESTS	121	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-REGRESSION-TRAP-TESTS/cael/20260802T014826Z-r-regression-trap-tests-0f08f108	9fcf215674720803840d15efa93bd925180135b9
R-TRACE-REDACTION-1121	1121	PASS-candidate	PASS-candidate		0	unknown	authority contract completed	R-TRACE-REDACTION-1121/cael/20260802T014839Z-r-trace-redaction-1121-6f51c2bf	9fcf215674720803840d15efa93bd925180135b9
