path	disposition	basis	rationale	evidence
config/assertion-safety-baseline.txt	KEEP	prior-reviewed-policy	retain all upstream replacement/reduction rows and accepted reductions/removals, then prune three removed casts from embedded-agent-subscribe.ts; regenerated arithmetic is 4,277 files and 13,483 assertions with zero mismatches	shrink-only accepted reductions and removals remain exact | upstream: upstream replaces Telegram monitor and plugin-hook counts; the final frozen merges also reduce the Discord internal gateway count from nine to eight and native-command-reply from three to two | interleave=no | preservation=pass | proof=pnpm check:assertion-safety --base origin/main | review=read-only policy audit: clean; shrink-only repairs applied
docs/tools/subagents.md	KEEP	prior-exact-overlay; base=c6a7b9c336a3bf3eb5d4dd79a8b24939a96b2439; source=f4bb2a8945e6b3ed4851aaa8133e4d22cd53c3d8; frozen=c6a7b9c336a3bf3eb5d4dd79a8b24939a96b2439; candidate=f4bb2a8945e6b3ed4851aaa8133e4d22cd53c3d8	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=3
extensions/acpx/src/pi-session-catalog.test.ts	KEEP	current-only-reviewed; accepted: Preserve continuation-aware Pi symlink coverage in one fixture root with Windows junction handling. | frozen: Split real and linked agent directories across temporary roots.	The accepted fixture topology covers the same symlink contract and remains isolated; no frozen behavior is lost.	source/candidate 7faecd09c145; frozen 43321512face; listLocalPiSessionPage symlink and continuation-eligibility tests
extensions/clawrouter/stream.ts	KEEP	prior-exact-overlay; base=cda5b4e675af2c829aff4a9470876cb1a11bd677; source=09dead6e7062b3555f1448371ae405b89bfe7c24; frozen=cda5b4e675af2c829aff4a9470876cb1a11bd677; candidate=09dead6e7062b3555f1448371ae405b89bfe7c24	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
extensions/clickclack/src/accounts.test.ts	KEEP	prior-exact-overlay; base=352886dd157dff1527a800177327c4e3480864b3; source=bde14e525dcfd4e39635ceae3351960494355338; frozen=352886dd157dff1527a800177327c4e3480864b3; candidate=bde14e525dcfd4e39635ceae3351960494355338	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
extensions/codex/src/app-server/auth-bridge.test.ts	KEEP	prior-exact-overlay; base=b7d54ff8295d4ffe5fac0083162b2b84caaa707f; source=35bc160d715a78d8562c68d16b53db218d4aa8cd; frozen=b7d54ff8295d4ffe5fac0083162b2b84caaa707f; candidate=35bc160d715a78d8562c68d16b53db218d4aa8cd	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=5
extensions/codex/src/app-server/computer-use.test.ts	KEEP	prior-exact-overlay; base=bf0d77ba1dccadef1f3b589bbbf63f297588733d; source=ab69f6fbb47b0870f23dba94c064e17bc6bc36ef; frozen=bf0d77ba1dccadef1f3b589bbbf63f297588733d; candidate=ab69f6fbb47b0870f23dba94c064e17bc6bc36ef	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
extensions/codex/src/app-server/computer-use.ts	KEEP	prior-exact-overlay; base=b16a3582aa9b55df39cb0cbf2228d05655cb696c; source=ee42d5006ed44862539d0c74a00d84774a2e20b0; frozen=b16a3582aa9b55df39cb0cbf2228d05655cb696c; candidate=ee42d5006ed44862539d0c74a00d84774a2e20b0	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
extensions/codex/src/app-server/dynamic-tool-build.test.ts	KEEP	prior-exact-overlay; base=af44a2a2634009789e3b871290182a967958fdce; source=1eb4f35e556739813c9ce15604f53559d36ce068; frozen=af44a2a2634009789e3b871290182a967958fdce; candidate=1eb4f35e556739813c9ce15604f53559d36ce068	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=2
extensions/codex/src/app-server/dynamic-tool-build.ts	KEEP	prior-exact-overlay; base=4511df38f4da674e5e98b32680c82e6ae0ec863e; source=7929ff41ea560d6179a4e1f67d4b31901a484dbb; frozen=4511df38f4da674e5e98b32680c82e6ae0ec863e; candidate=7929ff41ea560d6179a4e1f67d4b31901a484dbb	Current upstream blob equals the old merge-base blob and candidate blob equals the accepted-source blob; preserve this exact accepted overlay because no current upstream hunk exists on the path.	dropped_lines=1
