class	dropped_lines	file	detail
GENUINE	0	apps/shared/OpenClawKit/Sources/OpenClawKit/Resources/tool-display.json	-
MIXED-CLOBBER	9	config/assertion-safety-baseline.txt	203aafc4156 feat(lint): SAFETY-comment assertion ratchet +
GENUINE	0	config/knip.config.ts	-
SAFE-NEW	0	docs/assets/continuation-tools/continue-delegate.svg	-
SAFE-NEW	0	docs/assets/continuation-tools/continue-work.svg	-
SAFE-NEW	0	docs/assets/continuation-tools/request-compaction.svg	-
SAFE-NEW	0	docs/design/continuation-tools-infographics.md	-
SAFE-NEW	0	docs/design/continue-work-signal-v2.md	-
MIXED-CLOBBER	3	docs/tools/subagents.md	?
MIXED-CLOBBER	3	extensions/acpx/src/pi-session-catalog.test.ts	?
GENUINE	0	extensions/anthropic/session-catalog.test.ts	-
MIXED-CLOBBER	1	extensions/clawrouter/stream.ts	?
MIXED-CLOBBER	2	extensions/clickclack/src/accounts.test.ts	ef447abdee fix(channels): degrade unavailable credential f
GENUINE	0	extensions/clickclack/src/setup-surface.test.ts	-
GENUINE	0	extensions/codex/src/app-server/approval-requester.real-binary.live.test.ts	-
MIXED-CLOBBER	5	extensions/codex/src/app-server/auth-bridge.test.ts	20af8688dd fix(codex): refresh stale isolated Computer Use
MIXED-CLOBBER	2	extensions/codex/src/app-server/computer-use.test.ts	?
MIXED-CLOBBER	1	extensions/codex/src/app-server/computer-use.ts	?
GENUINE	0	extensions/codex/src/app-server/config.test.ts	-
MIXED-CLOBBER	2	extensions/codex/src/app-server/dynamic-tool-build.test.ts	59492c51a5 feat(agents): rename spawn_task tool to suggest
MIXED-CLOBBER	1	extensions/codex/src/app-server/dynamic-tool-build.ts	a345ede6851 fix(codex): preserve configured MCP tools in s
MIXED-CLOBBER	1	extensions/codex/src/app-server/dynamic-tool-execution.ts	?
MIXED-CLOBBER	5	extensions/codex/src/app-server/dynamic-tools.test.ts	?
MIXED-CLOBBER	6	extensions/codex/src/app-server/dynamic-tools.ts	?
GENUINE	0	extensions/codex/src/app-server/native-subagent-monitor.live.test.ts	-
MIXED-CLOBBER	4	extensions/codex/src/app-server/native-subagent-task-mirror.test.ts	?
GENUINE	0	extensions/codex/src/app-server/run-attempt-tool-setup.ts	-
GENUINE	0	extensions/codex/src/app-server/run-attempt-types.ts	-
MIXED-CLOBBER	2	extensions/codex/src/app-server/run-attempt.dynamic-tools.test.ts	?
GENUINE	0	extensions/codex/src/app-server/run-attempt.turn-watches.test.ts	-
MIXED-CLOBBER	1	extensions/codex/src/app-server/runtime-artifact.test.ts	e689231e42 fix: make Codex onboarding survive inherited No
GENUINE	0	extensions/codex/src/app-server/shared-client.test.ts	-
MIXED-CLOBBER	1	extensions/codex/src/app-server/side-question.test.ts	?
GENUINE	0	extensions/codex/src/app-server/side-question.ts	-
GENUINE	0	extensions/codex/src/native-thread-coexistence.live.test.ts	-
GENUINE	0	extensions/codex/src/native-thread-tool.test.ts	-
MIXED-CLOBBER	5	extensions/copilot/src/native-subagent-task-mirror.test.ts	?
MIXED-CLOBBER	3	extensions/copilot/src/tool-bridge.test.ts	409fb7abcac fix(telegram): enforce direct-message tool pol
GENUINE	0	extensions/diagnostics-otel/api.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.integration.test.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.test.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-ownership.ts	-
GENUINE	0	extensions/diagnostics-otel/src/service-events.ts	-
GENUINE	0	extensions/diagnostics-otel/src/service-trace-context.ts	-
MIXED-CLOBBER	2	extensions/diagnostics-otel/src/service-traces.ts	?
MIXED-CLOBBER	2	extensions/diagnostics-otel/src/service.test.ts	3bc188efe5 fix(diagnostics-otel): keep telemetry exporting
MIXED-CLOBBER	6	extensions/diagnostics-otel/src/service.ts	880dde979b fix(diagnostics): preserve telemetry during ser
MIXED-CLOBBER	1	extensions/discord/src/internal/rest.ts	?
MIXED-CLOBBER	4	extensions/feishu/src/delivery-trace.test.ts	?
GENUINE	0	extensions/feishu/src/media.test.ts	-
GENUINE	0	extensions/file-transfer/src/shared/audit.test.ts	-
GENUINE	0	extensions/google-meet/src/cli.ts	-
GENUINE	0	extensions/google-meet/src/oauth.test.ts	-
MIXED-CLOBBER	1	extensions/google-meet/src/oauth.ts	?
GENUINE	0	extensions/google/cli-backend-auth.test.ts	-
GENUINE	0	extensions/google/cli-backend-isolated.test.ts	-
MIXED-CLOBBER	2	extensions/google/transport-stream.test.ts	?
GENUINE	0	extensions/imessage/src/install-imsg.test.ts	-
MIXED-CLOBBER	2	extensions/matrix/src/actions.test.ts	?
MIXED-CLOBBER	2	extensions/matrix/src/matrix/client/storage.test.ts	?
MIXED-CLOBBER	12	extensions/matrix/src/test-runtime.ts	ef478c14b1 test(matrix): isolate runtime state (#118892)
MIXED-CLOBBER	3	extensions/msteams/src/channel.test.ts	ef447abdee fix(channels): degrade unavailable credential f
MIXED-CLOBBER	7	extensions/mxc/test/binary-resolver.test.ts	?
MIXED-CLOBBER	3	extensions/ollama/provider-discovery.test.ts	?
MIXED-CLOBBER	3	extensions/qa-lab/src/crabline-transport-message-id.test.ts	85fd4c9a02 fix(qa): preserve scoped native message and com
MIXED-CLOBBER	2	extensions/qa-lab/src/crabline-transport-native-command.test.ts	85fd4c9a02 fix(qa): preserve scoped native message and com
MIXED-CLOBBER	2	extensions/qa-lab/src/crabline-transport-readiness.test.ts	bf1bdb429e fix(qa): require ready transport accounts (#119
GENUINE	0	extensions/qa-lab/src/crabline-transport.test.ts	-
MIXED-CLOBBER	1	extensions/qa-lab/src/lab-server-ui.ts	?
GENUINE	0	extensions/qa-lab/src/live-transports/matrix/substrate/harness.runtime.test.ts	-
GENUINE	0	extensions/qa-lab/src/matrix-channel-driver.lifecycle.live.test.ts	-
GENUINE	0	extensions/senseaudio/media-understanding-provider.live.test.ts	-
MIXED-CLOBBER	1	extensions/signal/src/monitor.tool-result.test-harness.ts	?
MIXED-CLOBBER	32	extensions/signal/src/monitor/event-handler.ingress-lifecycle.test.ts	?
GENUINE	0	extensions/signal/src/monitor/event-handler.reply-session-conflict.test.ts	-
MIXED-CLOBBER	5	extensions/signal/src/monitor/event-handler.ts	?
MIXED-CLOBBER	1	extensions/telegram/src/bot-message-dispatch.context-recovery.test.ts	?
MIXED-CLOBBER	1	extensions/telegram/src/bot.create-telegram-bot.test.ts	?
GENUINE	0	extensions/tts-local-cli/speech-provider.live.test.ts	-
GENUINE	0	extensions/whatsapp/src/auto-reply/web-auto-reply-utils.test.ts	-
GENUINE	0	packages/agent-core/src/agent-loop.test.ts	-
MIXED-CLOBBER	1	packages/agent-core/src/agent-loop.ts	964c8c84c1 refactor: consolidate coercion ownership (#1222
SAFE-NEW	0	packages/gateway-protocol/src/protocol-boundary.guard.test.ts	-
SAFE-NEW	0	packages/gateway-protocol/src/schema/agent.schema.test.ts	-
MIXED-CLOBBER	1	packages/gateway-protocol/src/schema/agent.ts	?
SAFE-NEW	0	packages/gateway-protocol/src/schema/internal-fields.ts	-
GENUINE	0	scripts/bench-agent-concurrency-worker.ts	-
GENUINE	0	scripts/lib/ci-node-test-plan.mts	-
GENUINE	0	scripts/lib/codex-app-server-protocol-source.ts	-
MIXED-CLOBBER	9	scripts/plugin-sdk-surface-report.mts	5ebfbbf8d7 fix(plugins): honor per-agent runtime config (#
MIXED-CLOBBER	1	scripts/prepare-extension-package-boundary-artifacts.mts	ee4bd4aa47 fix(scripts): give the artifact mtime repair a 
MIXED-CLOBBER	1	scripts/protocol-gen-swift.ts	?
MIXED-CLOBBER	1	scripts/protocol-gen.ts	?
GENUINE	0	scripts/stage-bundled-plugin-runtime.mts	-
MIXED-CLOBBER	2	scripts/testbox-lease-freshness.mts	c70aee247e refactor(scripts): migrate JavaScript tools to 
MIXED-CLOBBER	5	src/acp/runtime/session-meta.ts	?
GENUINE	0	src/agents/agent-command.live-model-switch.test.ts	-
MIXED-CLOBBER	2	src/agents/agent-hooks/compaction-safeguard.ts	?
GENUINE	0	src/agents/agent-tools.policy.ts	-
MIXED-CLOBBER	4	src/agents/agent-tools.session-permissions.test.ts	4b0d573437 feat: session permission modes with worktree-sc
GENUINE	0	src/agents/agent-tools.ts	-
GENUINE	0	src/agents/agent-tools.workspace-paths.test.ts	-
GENUINE	0	src/agents/apply-patch-context-bytes.test.ts	-
MIXED-CLOBBER	2	src/agents/apply-patch.symlink-alias.test.ts	58025dd33c fix(fs): adopt fs-safe 0.5.2 untrusted filename
GENUINE	0	src/agents/apply-patch.test.ts	-
MIXED-CLOBBER	5	src/agents/bash-tools.exec-live-state-sqlite-guard.test.ts	204416747e fix: prevent sqlite commands from opening live 
MIXED-CLOBBER	1	src/agents/bash-tools.exec-runtime-output.test.ts	a4eabd5744 fix(agents): settle exec preparation failures (
GENUINE	0	src/agents/bash-tools.exec-runtime.test.ts	-
GENUINE	0	src/agents/bash-tools.exec-runtime.ts	-
MIXED-CLOBBER	4	src/agents/bash-tools.exec-workdir.test.ts	435f53f300 fix(exec): resolve sandbox skill workdir mounts
MIXED-CLOBBER	1	src/agents/bash-tools.exec.script-preflight.test.ts	ab5611f0be fix(security): prevent approved scripts from ch
MIXED-CLOBBER	2	src/agents/bash-tools.notify-on-exit-ack.test.ts	c71c29ecae fix: preserve exec completion identity across p
GENUINE	0	src/agents/bash-tools.test.ts	-
GENUINE	0	src/agents/cli-runner/execute-deps.ts	-
GENUINE	0	src/agents/cli-runner/execute.test-support.ts	-
GENUINE	0	src/agents/cli-runner/helpers.ts	-
