row	issue	classification	harness_verdict	exit_code	trace_status	attempts	artifact	reason
PREFLIGHT	453	NO-VERDICT		0	unknown	2	PREFLIGHT/cael/20260803T035245Z-preflight-b177ac4f	fresh preflight checks passed on the final attempt, but run-result verdict is null and no candidate routing envelope exists
R-CD-1	454	PASS-candidate	PASS-candidate	0	present	1	R-CD-1/cael/20260803T035252Z-r-cd-1-b177ac4f	authority contract complete with candidate envelope and bounded Tempo receipt
R-CD-2	455	NO-VERDICT	PARTIAL-candidate	99	r-cd-2-authoritative-receipt	2	R-CD-2/cael/20260803T035655Z-r-cd-2-fcfb7c4e	candidate routing envelope absent after 2 attempt(s); harness verdict PARTIAL-candidate; pending authority: continuation-trace-correlation, tempo-trace-json
R-CD-3	456	PASS-candidate	PASS-candidate	0	unknown	1	R-CD-3/cael/20260803T035953Z-r-cd-3-b1c58ed9	authority contract complete with candidate envelope
R-CD-4	457	NO-VERDICT	PARTIAL-candidate	99	present	2	R-CD-4/cael/20260803T040206Z-r-cd-4-f5448e85	candidate routing envelope absent after 2 attempt(s); harness verdict PARTIAL-candidate
R-CD-CHAINED-DEPTH-2	458	NO-VERDICT	PARTIAL-candidate	99	missing	2	R-CD-CHAINED-DEPTH-2/cael/20260803T040653Z-r-cd-chained-depth-2-99560e32	candidate routing envelope absent after 2 attempt(s); harness verdict PARTIAL-candidate; pending authority: continuation-trace-correlation, tempo-trace-json
R-CD-COLLECTION-ON-COLLAPSE	459	PASS-candidate	PASS-candidate	0	unknown	1	R-CD-COLLECTION-ON-COLLAPSE/cael/20260803T041049Z-r-cd-collection-on-collapse-106c388b	authority contract complete with candidate envelope
R-CD-MODEL-CHAINED-ALT	460	PASS-candidate	PASS-candidate	0	unknown	1	R-CD-MODEL-CHAINED-ALT/cael/20260803T041055Z-r-cd-model-chained-alt-106c388b	authority contract complete with candidate envelope
R-CD-MODEL-DEFAULT	461	PASS-candidate	PASS-candidate	0	unknown	2	R-CD-MODEL-DEFAULT/cael/20260803T041429Z-r-cd-model-default-0133a65f	authority contract complete with candidate envelope
R-CD-MODEL-TOKEN	462	PASS-candidate	PASS-candidate	0	unknown	1	R-CD-MODEL-TOKEN/cael/20260803T041504Z-r-cd-model-token-9ec0085d	authority contract complete with candidate envelope
R-CD-MODEL-TOOL	463	NO-VERDICT		99	present	2	R-CD-MODEL-TOOL/cael/20260803T041849Z-r-cd-model-tool-d41653c3	candidate routing envelope absent after 2 attempt(s); harness verdict null; pending authority: execution-bound-child-model-byte
R-CD-RETURN-OVERLAP	464	PASS-candidate	PASS-candidate	0	unknown	1	R-CD-RETURN-OVERLAP/cael/20260803T042213Z-r-cd-return-overlap-7c2e8621	authority contract complete with candidate envelope
R-CD-SILENT	465	PASS-candidate	PASS-candidate	0	unknown	1	R-CD-SILENT/cael/20260803T042219Z-r-cd-silent-7c2e8621	authority contract complete with candidate envelope
R-CD-TOKEN	466	NO-VERDICT	PARTIAL-candidate	99	missing	2	R-CD-TOKEN/cael/20260803T042328Z-r-cd-token-1f9ff9b8	candidate routing envelope absent after 2 attempt(s); harness verdict PARTIAL-candidate; pending authority: continuation-trace-correlation, tempo-trace-json
R-CONFIG-DEFAULTS	467	PASS-candidate	PASS-candidate	0	unknown	1	R-CONFIG-DEFAULTS/cael/20260803T042807Z-r-config-defaults-7101e784	authority contract complete with candidate envelope
R-CONFIG-INTERSESSION	468	PASS-candidate	PASS-candidate	0	unknown	1	R-CONFIG-INTERSESSION/cael/20260803T042814Z-r-config-intersession-7101e784	authority contract complete with candidate envelope
R-CW-1	469	PASS-candidate	PASS-candidate	0	present	1	R-CW-1/cael/20260803T042820Z-r-cw-1-7101e784	authority contract complete with candidate envelope and bounded Tempo receipt
R-CW-2	470	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-2/cael/20260803T042856Z-r-cw-2-7101e784	authority contract complete with candidate envelope
