path	disposition	accepted_source_intent	frozen_upstream_intent	candidate_disposition_rationale	evidence
extensions/acpx/src/pi-session-catalog.test.ts	KEEP	Preserve continuation-aware Pi symlink coverage in one fixture root with Windows junction handling.	Split real and linked agent directories across temporary roots.	The accepted fixture topology covers the same symlink contract and remains isolated; no frozen behavior is lost.	source/candidate 7faecd09c145; frozen 43321512face; listLocalPiSessionPage symlink and continuation-eligibility tests
extensions/matrix/src/actions.test.ts	KEEP	Isolate Matrix action tests with a unique state directory and reset plugin state around each test.	Use a fixed /tmp state directory without plugin-state cleanup.	The accepted SQLite-backed test isolation is stronger and prevents ambient state leakage.	source/candidate 8b318c841a78; frozen 74864f96e8d8; matrixMessageActions verification-action tests
extensions/telegram/src/bot-message-dispatch.context-recovery.test.ts	RESTORE	Preserve canonical Body, BodyForAgent, CommandBody, and RawBody while recovering topic context and canonical routing.	Prove a spoofed current-message marker cannot enter ChannelStructuredContext.	The candidate keeps accepted body semantics but drops the frozen anti-spoof assertion; restore that assertion without discarding accepted fixture fields.	source/candidate 218e5a7e7d5f; frozen 19ff12d5e933; cdeda328296 fixture alignment; f5a8cb02ea0 anti-spoof regression assertion
src/acp/runtime/session-meta.ts	KEEP	Consume mergeSessionEntry from the extracted session-entry-runtime owner.	Import mergeSessionEntry through the broader types barrel.	The accepted runtime/static-owner split is intentional and retains ACP binding and prompt-preservation behavior.	source/candidate 636324ad4c73; frozen fb00b7dcefd3; upsertAcpSessionMeta and session-meta tests
src/agents/openclaw-tools.session-status.test.ts	KEEP	Test session_status against the dedicated session-entry-runtime owner.	Import the helper through the types barrel.	The accepted owner boundary retains the same per-agent model metadata assertions.	source/candidate 5dba70716588; frozen 86ead4b634a1; session_status metadata tests
src/agents/openclaw-tools.sessions.test.ts	KEEP	Use createOpenClawTestState, a scoped store path, and explicit agent-database cleanup.	Use a hard-coded /tmp/sessions.json response without state cleanup.	The accepted SQLite/store isolation is stronger and preserves sessions_list behavior.	source/candidate 9bead9a61ce1; frozen a68d48b4a73a; sessions_list mailbox-filter test
src/agents/openclaw-tools.subagents.sessions-spawn.lifecycle.test.ts	KEEP	Use isolated OpenClaw state, a scoped store-path spy, cleanup, and actionable lifecycle diagnostics.	Remove the isolated database/store fixture and shorten diagnostics.	The accepted lifecycle fixture is stronger and preserves sessions_spawn behavior.	source/candidate faef48e6994c; frozen 0d6eed22a42e; sessions_spawn lifecycle tests
src/agents/sessions/package-manager.test.ts	KEEP	Isolate HOME/USERPROFILE and create a Git workspace for the missing-resource test.	Run against ambient host state.	The accepted fixture prevents host package state from changing the missing-package result.	source/candidate 4d3d89e8eff5; frozen a31034c5399f; DefaultPackageManager.resolve test
src/auto-reply/reply/commands-context-report.ts	KEEP	Consume resolveFreshSessionTotalTokens from session-entry-runtime.	Consume the helper through the types barrel.	The accepted provenance-aware runtime owner is intentional; context-report behavior is unchanged.	source/candidate 7d66f2f7b31f; frozen be0e5f02b753; buildContextReply tests
src/commands/doctor-session-sqlite.test.ts	KEEP	Validate a nonnegative padding bound and report exact offset/count for UTF-16 setup failures.	Use the older opaque proximity assertion.	The accepted assertion is more diagnostic and still constructs the surrogate-boundary truncation case.	source/candidate 7cb0e4077f7c; frozen b6f6a4c95320; 8fc4131 diagnostic assertion; migration failure issue test
src/config/sessions/cache-fields.test.ts	KEEP	Import mergeSessionEntry from session-entry-runtime while testing cache preservation.	Re-export and import mergeSessionEntry from types.	The accepted static/runtime gate split changes ownership only, not cache-field behavior.	source/candidate 53e9c08a409e; frozen 9496b8728a10; SessionEntry cache fields test
